Seller Name,House Location,Bedrooms,Bathrooms,Garage,pool encoder,garden encoder,Log_Price,Normalized_area
Elizabeth Lewis,Trivandrum,2.0,3.0,3.0,0,1,12.716034666498592,0.25507860408072247
Juan Simmons,Palakkad,2.0,3.0,0.0,0,0,12.79217411350747,0.5770765971680233
Shawn Vazquez,Palakkad,4.0,2.0,1.0,1,1,13.035480188561884,0.6072694837774557
Catherine Hanson,Kollam,5.0,3.0,0.0,1,0,13.288644674313172,0.9794179953172039
Benjamin Johnson,Trivandrum,1.0,4.0,3.0,1,0,12.403622453357496,0.14509978815921507
Jacob White,Trivandrum,2.0,1.0,1.0,0,0,12.818443082411394,0.5415542423904561
Susan Torres,Kollam,4.0,1.0,1.459320288362513,0,0,13.134729500750897,0.9441409298695508
Daniel Griffin,Kollam,5.0,4.0,0.0,1,0,12.639812041924566,0.09412420559705653
Kristen Johnson,Palakkad,3.0,4.0,2.0,0,1,12.490748491307222,0.18575091983498718
Daniel Wright,Kollam,5.0,4.0,3.0,0,0,13.143080743062521,0.7511651243170924
Felicia Robertson,Palakkad,1.0,4.0,3.0,0,1,12.944352571956578,0.6431709220648902
Sydney Buchanan,Palakkad,4.0,3.0,1.0,1,1,13.1204778408971,0.7182963541085964
Jessica Drake,Palakkad,2.0,2.0,2.0,0,0,12.832489197372734,0.651131675772104
Natasha Hughes,Trivandrum,3.0,1.0,3.0,0,1,12.524842981069694,0.2856282751700302
Diana Dixon,Palakkad,1.0,3.0,2.0,0,0,12.609279605940879,0.44363920169472637
Roger Beck,Thrissur,5.0,3.0,2.0,1,0,12.922769175648192,0.3058980934329357
Kelly Nash,Ernakulam,2.0,2.0,1.0,0,1,12.84184081439084,0.5337495818931878
Karen Brown,Ernakulam,3.0,2.0,3.0,0,1,12.965032332239055,0.826937228230572
Spencer Mullins,Thrissur,3.0,1.0,1.0,0,0,12.86411316062539,0.6931876463373845
Matthew Lambert,Kollam,2.0,4.0,2.0,0,1,12.706252210580484,0.4771323447430037
Noah Owens,Ernakulam,1.0,3.0,0.0,1,0,12.945400899063165,0.8351655702976921
Zachary Gonzalez,Palakkad,2.0,2.0,3.0,0,0,12.65071622230959,0.40524027204816593
Melinda Spencer PhD,Thrissur,4.0,4.0,1.0,0,0,12.504159537123831,0.19230683465269258
Matthew Cochran,Ernakulam,5.0,2.0,0.0,1,0,12.581782971527327,0.3660608763518787
Morgan Smith,Palakkad,4.0,4.0,1.459320288362513,0,1,13.24117134541583,0.945545768759059
Renee Lawson,Kollam,2.0,2.0,1.0,1,1,12.959502154036572,0.5659939792619022
Christy Gilmore,Thrissur,4.0,1.0,0.0,1,1,12.880960204248504,0.3397926190210726
Jennifer Thomas,Palakkad,1.0,4.0,3.0,0,1,12.85688019616861,0.6313747351990189
Dominique Holmes,Ernakulam,1.0,4.0,3.0,0,0,12.829577334480247,0.24571301148400046
Monique Wood,Thrissur,3.0,2.0,0.0,0,0,11.845107870552404,0.09492697067677555
Shelby Weber,Kollam,3.0,4.0,3.0,0,0,12.39414020405851,0.15080833983721711
Laura Schwartz,Palakkad,2.0,3.0,2.0,0,0,12.454912130330214,0.49117894420975405
Alicia Ross,Ernakulam,4.0,4.0,1.0,1,0,12.577806394375658,0.025911472850930983
Mark Hunter,Palakkad,5.0,2.0,0.0,0,1,12.961782451117541,0.5182517560486118
Suzanne Thompson,Kollam,3.0,4.0,2.0,0,1,13.17200696777819,0.8645779908573977
Laurie Mendoza,Thrissur,1.0,2.0,0.0,1,0,12.904507695632509,0.7296019623146394
Peter Figueroa,Thrissur,1.0,2.5510835913312695,1.0,1,0,12.631190696529751,0.18347641877578327
Michelle Sanders,Kollam,2.0,2.0,0.0,0,0,12.06292412767618,0.0033002564388448924
Adrian Williams,Thrissur,2.0,4.0,2.0,1,1,12.881636694889202,0.3184747463485339
Robert Ballard,Kollam,4.0,4.0,0.0,0,1,12.908652894473247,0.5854164343851043
Breanna Pena,Trivandrum,1.0,1.0,3.0,1,0,12.49352471653365,0.2674991637863753
Bobby Cook,Palakkad,1.0,3.0,0.0,0,1,11.964880379166072,0.008763518786932767
Nicholas Brown,Palakkad,5.0,4.0,2.0,0,1,12.816321334126918,0.24816590478314196
Clayton Fox,Thrissur,3.0,1.0,1.0,0,0,12.884048318585348,0.7465046270487234
Curtis Watkins,Ernakulam,5.0,2.0,3.0,0,0,13.033894283916622,0.7448990968892855
James Velasquez,Kollam,4.0,3.0,1.0,1,1,12.6599524822613,0.24821050284312637
Patricia Graves,Thrissur,4.0,2.0,2.0,0,0,12.34212816237119,0.49117894420975405
Hunter Mccoy,Trivandrum,1.0,4.0,2.0,1,0,12.886884634465828,0.48446872561043597
Mike Rich,Thrissur,4.0,1.0,3.0,1,0,12.947364281834728,0.5077712119522801
Jeffrey Foster,Thrissur,5.0,3.0,2.0,1,0,12.661074305857563,0.3520347864867879
Tara Weaver,Trivandrum,4.0,2.0,2.0,1,0,12.881437300014833,0.5998885048500391
Eric Daniels,Palakkad,5.0,3.0,3.0,1,1,13.392209597489513,0.970409187200357
Michael Holden,Thrissur,5.0,2.0,0.0,1,0,13.07274098102572,0.7178949715687368
Tracy Wright,Palakkad,5.0,3.0,1.0,0,0,12.811037227124087,0.42952391570966675
David Walker,Trivandrum,3.0300518134715024,1.0,1.0,0,1,13.10073391806615,0.9558033225554688
Steven Mason,Kollam,1.0,4.0,1.0,0,1,12.227081065174325,0.04524473185416433
Paul Smith,Palakkad,5.0,4.0,3.0,0,0,13.066751825380049,0.7283532166350765
Mark Byrd,Ernakulam,3.0,2.0,2.0,0,1,12.70473002559165,0.4282082729401272
Brooke Stewart,Kollam,1.0,4.0,2.0,0,0,12.314505526636,0.0011149514996097593
Zoe Rollins,Trivandrum,3.0,2.0,2.0,1,1,12.970379860914637,0.7132790723603525
Melinda Acosta,Palakkad,5.0,1.0,0.0,1,1,12.920072441171829,0.3847251644553462
Jacob Scott,Palakkad,2.0,3.0,3.0,1,1,12.605265457182988,0.2096331809566284
Tyler Livingston,Thrissur,2.0,3.0,1.0,1,0,12.820512817639742,0.5140818374400715
Randy Bryant,Palakkad,1.0,2.0,2.0,0,0,12.59652844202741,0.3307615118742335
Walter Davis,Palakkad,3.0,3.0,2.0,0,0,12.403558474685559,0.18989853941353554
Chad Webster,Palakkad,5.0,4.0,1.0,1,1,13.124801323197989,0.5581670197346417
Morgan Avery,Palakkad,5.0,3.0,2.0,1,1,13.047317925954179,0.5663953618017618
Nathaniel Knight,Palakkad,1.0,4.0,1.0,1,0,12.193718243211555,0.07396588248411193
Donna Davis,Kollam,5.0,3.0,0.0,1,0,12.9880419585055,0.545300479429145
Lisa Guerra,Ernakulam,2.0,4.0,0.0,1,0,12.508877884246607,0.05217973018173708
Glenn Thomas,Ernakulam,5.0,4.0,2.0,1,1,13.056056253209983,0.49117894420975405
Julian Clayton,Thrissur,2.0,2.0,1.0,1,0,12.644645429166612,0.30656706433270153
Joy Hill,Trivandrum,1.0,4.0,3.0,1,1,12.589046136246647,0.1703868881703646
Anthony Salazar,Kollam,3.0,3.0,0.0,1,1,12.759919769529283,0.3239380086966217
Emily Lane,Thrissur,4.0,1.0,1.0,1,0,12.349322194780287,0.05133236704203367
Denise Williams,Trivandrum,2.0,4.0,2.0,1,1,12.656232431630368,0.1920615453227785
Jaclyn Rogers,Trivandrum,3.0,3.0,0.0,0,1,12.276119374847172,0.19179395696287213
Zachary Gillespie,Trivandrum,5.0,3.0,2.0,1,1,12.722965705123329,0.16387557141264356
Teresa Ross,Ernakulam,5.0,1.0,0.0,0,1,12.890500447554187,0.7215297134574646
Steven Mcfarland,Ernakulam,3.0,4.0,2.0,1,1,13.22721601011144,0.8868770208495931
Brandon Lane,Ernakulam,3.0,1.0,0.0,1,0,12.97588802342576,0.7100011149514996
Roy Christian,Palakkad,1.0,3.0,1.0,1,1,12.955615211397824,0.7421786152302375
Mrs. Rachel Donaldson MD,Ernakulam,2.0,4.0,2.0,0,0,12.9241116627365,0.6209387891626714
Joseph Mcmahon Jr.,Thrissur,3.0,4.0,3.0,0,0,12.805512700707196,0.49117894420975405
Holly Rogers,Palakkad,3.0300518134715024,1.0,3.0,0,1,12.333657706213478,0.09477087746683022
Kathryn Richard,Ernakulam,1.0,2.0,1.0,1,0,12.898779479151635,0.728643104024975
Alicia Combs,Ernakulam,2.0,4.0,1.0,1,0,12.402156688364599,0.004392908908462473
Craig Lamb,Thrissur,3.0,3.0,0.0,0,1,12.78342781328163,0.3975025086408742
Craig Sanchez,Palakkad,5.0,3.0,0.0,1,1,13.173560015120774,0.820760396922734
Victoria Meyer,Thrissur,1.0,3.0,0.0,1,1,12.794403301331299,0.5590366819043372
Thomas Fuentes,Ernakulam,2.0,4.0,1.0,1,1,12.755246303699165,0.2278068904002676
Anthony Aguirre,Ernakulam,3.0,4.0,2.0,0,1,13.044352732026336,0.9248076708663174
Tom Johnson,Thrissur,2.0,4.0,1.0,0,0,12.724085628239605,0.6722934552346974
Loretta Adams,Thrissur,5.0,1.0,0.0,1,0,12.772737303136983,0.5024194447541532
James Thornton,Palakkad,3.0,3.0,0.0,1,0,12.917917750289206,0.5507191437172483
Laurie Perez,Ernakulam,1.0,1.0,0.0,0,1,12.176073950550004,0.1756940573085071
Taylor Robinson,Ernakulam,1.0,1.0,1.0,1,0,12.897134227741056,0.7060095885828968
Drew Porter Jr.,Palakkad,2.0,4.0,3.0,0,1,12.307448166633774,0.013736202475192333
Dustin Rodgers,Ernakulam,1.0,1.0,1.0,0,0,12.960678217870814,0.8339614226781136
Lisa Gallegos,Thrissur,2.0,3.0,1.0,0,1,12.461166661052857,0.09109153751811797
Gregory White,Kollam,4.0,3.0,0.0,0,0,12.503088286894394,0.09577433381647898
Tracey Cooper,Palakkad,2.0,2.5510835913312695,1.0,0,0,12.988020203946315,0.9267253874456461
Teresa Moore,Ernakulam,2.0,2.0,1.0,0,1,12.320701601190596,0.12766194670531833
Diane Trevino,Trivandrum,5.0,3.0,1.0,0,1,12.74425736268905,0.3634964879027762
Mary Fisher,Palakkad,5.0,1.0,0.0,0,0,12.816178485340238,0.5750473854387335
David Chen,Ernakulam,4.0,3.0,2.0,1,0,12.48729995575383,0.09686698628609658
Rita Savage,Palakkad,1.0,2.0,0.0,0,0,13.014080395499018,0.9980153863306948
Sharon Myers,Trivandrum,4.0,4.0,2.0,0,0,12.905934978898618,0.4904671646783365
Teresa Harris,Ernakulam,1.0,4.0,0.0,0,0,12.829577334480247,0.5395696287211507
Kaitlyn Harper,Palakkad,4.0,1.0,1.0,1,1,12.894359986174884,0.5981491805106479
Rachel Nash,Trivandrum,2.0,4.0,1.459320288362513,1,0,12.541662778926993,0.2477645222432824
James Berry,Thrissur,3.0,1.0,3.0,1,0,13.084195939761598,0.9085293789720149
Christopher Hayes,Trivandrum,5.0,1.0,2.0,1,0,13.066121099078176,0.7708105697402164
Sara Jimenez,Trivandrum,1.0,4.0,0.0,1,0,13.171204645029862,0.956606087635188
Christopher Davis,Trivandrum,1.0,4.0,2.0,1,0,12.687210866985986,0.3709220648901773
John Skinner,Palakkad,4.0,3.0,1.0,1,1,12.619037361148466,0.11738209387891627
Joseph Aguirre,Kollam,2.0,3.0,0.0,0,0,12.700090669623735,0.5147062102798529
Joe Bell,Kollam,2.0,2.5510835913312695,1.0,1,0,13.111426183762223,0.7550228565057421
Terri Morales,Thrissur,1.0,2.0,2.0,0,1,12.982372032718471,0.7443193221094884
John Johnson,Ernakulam,1.0,1.0,1.0,0,0,12.797816636544848,0.7187423347084403
Leroy Key,Ernakulam,5.0,4.0,3.0,1,1,12.81433260058342,0.18644218976474522
Charles Morris,Ernakulam,3.0,2.0,2.0,0,1,12.636001201761157,0.49117894420975405
Matthew Vega,Thrissur,4.0,1.0,3.0,1,1,12.961741541403864,0.5247407737763408
Theresa Little,Thrissur,5.0,1.0,2.0,1,0,13.055121643209677,0.7259449213959194
Kyle Brown,Palakkad,3.0,4.0,0.0,1,0,12.8230953529334,0.3194782026981826
Katherine Rodgers,Trivandrum,1.0,4.0,1.0,1,1,12.998894897697074,0.6741219756940574
Brian Chang,Palakkad,4.0,2.0,0.0,1,0,13.117077893812956,0.9495818931876464
Carla Pierce,Thrissur,4.0,3.0,3.0,1,0,13.141261007078374,0.7286654030549672
Gregory Hernandez,Palakkad,2.0,1.0,3.0,0,0,12.652470558018955,0.47755602631285543
Claudia Giles,Palakkad,3.0,3.0,2.0,0,1,12.159730023683881,0.07082171925521238
Darlene Munoz,Thrissur,3.0300518134715024,3.0,2.0,1,1,12.661920046523335,0.2362136247073253
Ann Quinn,Trivandrum,4.0,1.0,3.0,1,0,13.004569284186811,0.49117894420975405
Kenneth Snyder,Ernakulam,1.0,2.0,2.0,1,1,12.805968777319611,0.4688371055859071
April Henry,Kollam,1.0,1.0,1.459320288362513,0,1,12.127118719918274,0.10982272271156207
Renee Boyd,Thrissur,5.0,2.0,2.0,0,0,12.859913635283727,0.6163451889842793
Nicole Johnson,Trivandrum,3.0,3.0,0.0,0,1,12.458471069408837,0.1942245512320214
Amanda Frey,Thrissur,5.0,2.0,1.0,1,1,12.697849232978962,0.11229791504069575
Matthew Hughes,Ernakulam,3.0,4.0,0.0,1,0,12.39920303419678,0.11428252871000114
Daryl Jones,Trivandrum,3.0300518134715024,3.0,3.0,0,0,12.728737122698211,0.5416880365704093
Nancy Brooks,Palakkad,4.0,1.0,3.0,1,1,12.910244406463272,0.47456795629390125
Pamela Glenn,Ernakulam,1.0,2.5510835913312695,0.0,0,0,12.565619112696986,0.3131898762403835
Brian Diaz,Ernakulam,1.0,3.0,1.0,0,0,12.244041132667926,0.36302820827294013
Tanya Thomas,Trivandrum,5.0,4.0,2.0,0,1,12.90291469165949,0.4068904002675884
Jason Davis,Trivandrum,3.0,1.0,2.0,1,1,13.20437654245099,0.8510424796521352
Shawna Hester,Kollam,2.0,2.0,3.0,0,0,12.212729539165947,0.1488906232578883
James Pearson,Kollam,1.0,4.0,2.0,1,1,12.28863841376168,0.11147285093098452
Christopher Lynn,Trivandrum,5.0,2.0,0.0,0,0,12.689251011788297,0.27162448433493147
Danielle Cruz,Ernakulam,4.0,4.0,2.0,0,0,12.516818309315445,0.18106812353662613
Jorge Jones,Palakkad,1.0,1.0,1.0,1,1,12.987028920235463,0.7252313524361692
Brandi Banks,Thrissur,2.0,4.0,0.0,0,1,12.533808005122383,0.20363474188872785
Kelly Robinson,Kollam,3.0,4.0,3.0,0,0,12.448148484720752,0.18795852380421454
Laura Castillo,Thrissur,5.0,3.0,3.0,0,0,13.06241556150309,0.7112275616010704
Rachel Phillips,Palakkad,5.0,2.0,1.459320288362513,0,1,13.001233509848976,0.7782584457576096
Kimberly Flynn,Ernakulam,4.0,4.0,2.0,0,0,13.153933165965514,0.8189987735533505
Laura Hardy,Trivandrum,4.0,2.0,3.0,1,0,12.970484441877533,0.8328241721485117
Benjamin Davis,Trivandrum,4.0,2.0,2.0,1,0,12.30687299943722,0.06810123759616457
Suzanne Jones,Kollam,4.0,4.0,1.0,0,0,12.398053195363019,0.12944586910469397
Jason Kelley,Thrissur,3.0,3.0,2.0,1,1,12.89706044630686,0.5227115620470509
Renee Mcguire,Palakkad,4.0,1.0,1.0,1,0,12.93140992072501,0.4940350094770879
Daniel Adams,Palakkad,4.0,3.0,0.0,1,1,12.929422983796881,0.4701750473854387
Jessica Hart,Trivandrum,5.0,2.0,3.0,1,1,12.957279066008837,0.41893187646337393
Daniel Odonnell,Kollam,4.0,3.0,3.0,0,1,13.093794114806899,0.6973798639759171
Lori Adams,Palakkad,3.0,1.0,2.0,0,0,12.500202945902332,0.36860296577098894
Jessica Wood,Trivandrum,5.0,4.0,1.0,0,1,12.987596616312022,0.5934440851822946
Tracy Weber,Palakkad,5.0,1.0,2.0,1,1,12.751014698883933,0.32161890957743344
Matthew Gould,Trivandrum,1.0,3.0,0.0,0,1,12.988012494803886,0.8040138253985952
Gina Powell,Palakkad,4.0,2.0,0.0,0,0,12.944878688084083,0.5820938789162673
Adam Martinez,Thrissur,4.0,3.0,2.0,1,1,12.874434081663113,0.34599174935890287
Randy Mcclure,Trivandrum,1.0,4.0,3.0,0,1,12.760862521748901,0.5376296131118297
Linda Rice,Palakkad,4.0,2.0,2.0,1,1,13.116226525388923,0.7958300813914595
Amanda James,Trivandrum,2.0,4.0,1.0,0,1,12.990132030782249,0.8306388672092765
Mitchell Hall,Thrissur,1.0,4.0,0.0,1,0,12.549770961043127,0.186754376184636
Taylor Morris,Trivandrum,3.0,4.0,2.0,0,1,13.112932607156171,0.9294012710447098
Nicole Williams MD,Trivandrum,3.0,2.5510835913312695,3.0,1,0,12.829577334480247,0.7353997101126103
Alexander Vance,Palakkad,3.0,3.0,2.0,0,1,13.103738954552622,0.9711896532500838
Sandy Medina,Trivandrum,1.0,3.0,1.0,0,0,12.184626410250107,0.2807001895417549
Daniel Beasley,Thrissur,3.0,2.0,3.0,0,0,12.747946573329424,0.6919611996878137
Stephanie Haynes,Ernakulam,2.0,1.0,2.0,0,1,12.755155903453097,0.6481213067231576
Betty Santiago,Kollam,5.0,2.0,2.0,1,1,12.881834472831521,0.3425353997101126
Lauren Hooper,Palakkad,1.0,4.0,3.0,0,1,12.99410175511726,0.8047719924183299
Betty Mckenzie,Palakkad,5.0,3.0,2.0,1,0,12.603961224088165,0.07389898539413534
Debbie Smith,Trivandrum,5.0,2.0,0.0,1,0,13.182005870030919,0.9632734976028544
Tom Young,Palakkad,2.0,1.0,1.0,0,1,11.964637569628785,0.0645556918274055
James Quinn,Trivandrum,4.0,3.0,2.0,1,1,12.940391615425034,0.5363808674322669
Miss Kimberly Parker MD,Trivandrum,2.0,3.0,2.0,0,0,12.674205275547958,0.49117894420975405
Jamie Johnson,Palakkad,5.0,4.0,2.0,1,1,13.005443801359378,0.49117894420975405
Stephen Flores,Ernakulam,2.0,1.0,2.0,0,0,13.029477374906424,0.984123090645557
Timothy Good,Palakkad,3.0,1.0,3.0,1,0,12.781643303483447,0.5566283866651801
Laurie Gay,Trivandrum,2.0,3.0,1.0,0,0,12.978963058156081,0.7207715464377301
Brett Moore,Trivandrum,1.0,4.0,0.0,1,0,12.587364043061694,0.3589251867543761
Sonya Johnson,Thrissur,1.0,4.0,0.0,0,1,12.405654057028812,0.15963875571412642
Emma Willis,Ernakulam,3.0,2.0,3.0,0,1,12.38556775334455,0.14418552792953507
Ryan Owens,Palakkad,5.0,4.0,1.0,1,1,13.25752882423479,0.8448433493143049
Curtis Rice,Ernakulam,2.0,1.0,0.0,0,0,13.016690790835218,0.7133013713903446
Carrie Watson,Trivandrum,1.0,3.0,1.459320288362513,1,0,12.612589999833082,0.4105474411863085
Anthony May,Kollam,1.0,1.0,1.0,0,1,11.904447079485703,0.07155758724495484
Margaret Hickman,Ernakulam,4.0,4.0,2.0,1,0,13.154305531380157,0.7381647898316424
Alicia Camacho,Ernakulam,2.0,1.0,1.0,1,0,13.113966885318192,0.9914817705429816
Christina Rush,Ernakulam,1.0,3.0,3.0,0,1,12.57269030148117,0.3777901661277735
Annette Smith,Palakkad,5.0,3.0,2.0,0,0,12.908112196510356,0.5754933660385774
Mitchell Riley,Trivandrum,4.0,1.0,0.0,1,1,12.805302887773973,0.3639647675326124
Kelly Pace,Palakkad,3.0,4.0,3.0,0,1,12.890545840611543,0.4284089642100569
Brandon Campbell,Thrissur,4.0,4.0,0.0,0,0,12.234717923839645,0.01429367822499722
Alexandria Brennan,Ernakulam,5.0,2.0,3.0,0,1,12.43117894938478,0.10759281971234252
Jay Russell,Kollam,5.0,2.0,3.0,1,0,13.303069730458752,0.9020180622142938
Kaitlin Guerrero,Thrissur,4.0,1.0,1.0,0,1,12.728749070339026,0.5504961534173264
Michael Herrera,Kollam,1.0,4.0,0.0,0,0,12.952588398098667,0.7610881926636193
Dr. Joe Robinson,Trivandrum,1.0,3.0,2.0,1,1,12.72725400311096,0.35263686029657715
Brandon Fuller,Palakkad,1.0,4.0,2.0,1,0,12.150104017731667,0.004972683688259552
Emily Nelson,Palakkad,5.0,3.0,2.0,1,0,12.827791867182867,0.23353774110826178
Katrina Floyd,Kollam,2.0,2.0,1.0,1,0,13.049565970699803,0.9312966885940462
Noah Brewer,Thrissur,5.0,3.0,1.0,0,1,13.057688783009212,0.7830081391459472
Barbara Miller,Thrissur,2.0,3.0,2.0,1,1,13.08945010962899,0.9028654253539973
Larry Jordan,Palakkad,3.0,1.0,3.0,0,0,12.829577334480247,0.28875013936893745
Sierra Maldonado,Trivandrum,3.0,4.0,1.0,0,1,12.28939926295722,0.011104916936113263
Nicole Welch,Thrissur,5.0,2.0,2.0,1,1,13.302404469246895,0.928197123425131
Leslie Mitchell,Ernakulam,4.0,4.0,3.0,1,0,12.473805167393076,0.004861188538298575
Jennifer Jones,Trivandrum,5.0,2.0,2.0,0,0,12.62438342689328,0.2019177165793288
Julia Ryan,Trivandrum,5.0,2.0,0.0,1,0,13.24646111772433,0.8784256884825511
Scott Brady,Thrissur,1.0,3.0,3.0,1,1,12.51397880057102,0.17246069795963878
Lauren Gross,Trivandrum,4.0,2.0,3.0,1,0,12.704343831096784,0.34144274724049506
Melvin Mason,Thrissur,3.0,4.0,1.0,1,0,13.156648333571114,0.8788270710224106
Charles Baker,Thrissur,5.0,2.0,3.0,1,0,13.330125949592228,1.0
Arthur Hall,Kollam,4.0,1.0,1.0,1,0,12.745702466506584,0.3168692161890958
Joshua Gay,Thrissur,3.0300518134715024,2.0,3.0,0,0,12.396991720849421,0.06879250752592261
Alex Mahoney,Thrissur,3.0,4.0,1.0,1,0,13.016859940422625,0.49117894420975405
Jessica James,Thrissur,4.0,4.0,0.0,1,1,12.691732511290152,0.0861188538298584
Kayla Oliver,Ernakulam,1.0,3.0,0.0,0,1,12.277740349793516,0.028542758390010026
Gabrielle Rush,Thrissur,3.0,3.0,1.0,0,1,13.05080690126062,0.6821273274612555
Anthony Thompson,Ernakulam,2.0,1.0,0.0,1,1,12.680979080109875,0.3683353774110827
Rodney Yang,Palakkad,4.0,3.0,3.0,1,0,12.919491142553976,0.4709555134351656
Bryce Miranda,Palakkad,3.0,4.0,1.0,0,1,12.36016605228879,0.08870554130895306
Rebecca Waller,Thrissur,1.0,3.0,2.0,0,0,12.712040338635276,0.5922176385327239
Crystal Gibson,Kollam,2.0,3.0,3.0,0,0,12.765443374869763,0.6563273497602855
Kenneth Lee,Thrissur,5.0,4.0,2.0,1,0,13.163838835170962,0.5500947708774669
Emily Perez,Trivandrum,2.0,1.0,0.0,0,1,12.988443086311456,0.901126101014606
Ashley King,Kollam,4.0,4.0,0.0,0,1,13.23873231146796,0.8345188984279185
Jean Larson,Thrissur,4.0,4.0,0.0,1,1,13.216153420568006,0.8629724606979597
Jeffrey Long,Palakkad,2.0,3.0,1.0,1,0,12.72567281016923,0.5147954063998217
Natalie Martin,Palakkad,3.0,4.0,2.0,1,1,12.985161554125892,0.3798193778570632
Michael Guzman,Palakkad,1.0,4.0,1.0,1,1,12.771495312291382,0.47276173486453343
Kimberly Williams,Palakkad,3.0,4.0,1.0,1,1,12.9437061945839,0.522488571747129
Tammy Montes,Thrissur,5.0,1.0,3.0,0,1,13.045438660408472,0.6104805440963319
Mikayla Payne,Trivandrum,1.0,1.0,0.0,1,0,12.50328910838349,0.2313524361690267
Brady Oneal,Thrissur,3.0,3.0,3.0,0,0,12.612826389656847,0.4648232801873119
Brian Morris,Trivandrum,5.0,4.0,0.0,1,0,13.222153271923224,0.8515553573419558
Sean Schmidt,Palakkad,4.0,3.0,2.0,1,0,12.829577334480247,0.7092206489017729
Sandra Cunningham,Trivandrum,5.0,2.0,0.0,0,0,12.987790208033088,0.49117894420975405
Cody Anderson,Trivandrum,4.0,4.0,0.0,0,1,12.674798677746274,0.10881926636191327
Adriana Jones MD,Ernakulam,1.0,1.0,1.0,0,1,12.455868838541624,0.41273274612554367
Cassandra Smith,Kollam,5.0,3.0,0.0,1,1,13.13681557941394,0.5887612888839335
David Harris,Thrissur,3.0,4.0,0.0,1,1,12.906500482670625,0.5288437952949047
